doc_id	text_data	class_type
IL5_WL_020506_20160616_H0040MDW6	?? ??? ???? ?? ??? ??? ???? ???? ???? ???? ?????? ???? ??? ?? ??? ??? ?????? ??? ????? ????? ???? ???? ?????? ?? ??? ???? ? ????? ?? ????? ???? ? ?? ??? ???? ?? ??? ??? ???? ??? ???? ???? ?????? ??? ???? ?????? ???? ????? ???? ??? ??? ? ????? ????? ??? ???? ?????? ?? ??? ???? ??? ???? ???? ??? ???? ?? ???? ??? ????? ???? ? ???? ??? ???? ??? ??? ????? ??? ??? ?? ?????? ?????? ??? ??? ?? ??? ?? ???? ??? ?????? ?? ????? ??? ??? ??????? ??? ??? ????? ?????? ???? ???? ????? ????? ?? ??? ??????? ???? ????? ??? ????? ? ???? ?? ?????? ???? ???? ??? ????? ??? ??? ????? ??? ???? ?????? ?? ?????? ?????? ???? ???? ?? ?? ??? ???? ??? ??? ??? ??????? ?????? ???? ????? ?? ???? ???? ?? ???? ?? ???? ???? ? ?? ????? ??? ???? ???? ?? ?? ???? ????? ???? ????? ???? ??? ??? ??? ???? ???? ?? ????? ???? ????? ????? ?? ??? ???? ????? ?	indomain
IL5_SN_000370_20150513_H0T0066CA	RT@Reuters Burundi army officer says dismisses President Nkurunziza	unk
IL5_SN_000370_20170209_H0T0036WE	????? ??? ????? ?? ?? ??? ???? ?? ?? ?	nondomain
IL5_SN_000370_20170211_H0T0036YT	????? ??? ??? 11???? 1984 ?? ?? ??? ??? ?????? ???? ??? ??? ????? ?????? ?????	indomain
IL5_WL_020083_20160511_G0040IS6Y	??? ??? ??? ??? ??? ??? ??? ??? ????? ????? ??? ??? 07052016 07052016 ??? ??? ????? ????? ????    ????? ????? ??? ??? ?? ???? ?? ??? ??? ??? ??? ??? ??? ???? ???? 07052016 07052016 ??? ??? ???? ???? ???? ???? ?? ???? ?? ??? ??? ?? ???? ?? ???? ???? ??? ??? ??? ???? ???? ??? ??? ?? ???? ????? ?????? ??? ??? ??? ??? ??? ? ??? ? ? ?? ? ??? ??? ????? ????? ? ?? ????? ???? ???? ??? ??? ????? ? ????? ? ????? ????? ????? ????? ????? ? ????? ? ?? ???? ?? ???? ???? ?????? ?????? ??? ??? ??? ??? ??? ??? ??? ???? ???? ???? ??? ??? ??? ???? ???? ???? ???? ???? ????? ????? ????? ?????? ?????? ?????? ???? ???? ???? ???? ???? ?????? ?????? ??? ? ??? ?	unk
IL5_SN_000370_20160121_G0T000A06	??? ??? ??? ???? ???? ???? ????  ?? ??? ??? ??? ???? ??? ??? ??? ???? ???? ? ?? ????? ?? ??? ?? ??? ?? ???? ??	indomain
IL5_SN_000370_20170429_H0T00647V	???? ???         ????  ??? ??? ????  ?? ???? ?? ??? ???? ???? ?????? ??? ??? ?????? ?? ? ??? 3 ??? ??	nondomain
IL5_SN_000370_20170210_H0T0036X3	???? 32009 ???? ???? ???????? ?????? ????? ??? ??????? ????? ????? ???? ???? ???????? ????? ?? ??? ????? ?????	unk
IL5_SN_000370_20170208_H0T0036VB	???? ?  ???  ?? ??? ?? ??? ??  ???? ???? ??? ???? ??? ??? ??? ??????? ????? ??? ??? ?? ????? ? ???? ??????	unk
IL5_SN_000370_20160913_H0T0067FX	????? ???? ???? ?????? ????? ?????? ??? ?????	unk
IL5_SN_000370_20170531_H0T006BC3	????? ??? ?????? ???? ??? ??? ?????? ???? ???? ??? ?? ???  ?? 9 ?16 ?? ??? ???? ?????? ?? ?	unk
IL5_SN_000370_20170117_H0T0036CX	???? ?????? ?? ???? ?? ??? ????????????? 90 ?? ??? ??? ??? ????? ??? ??? ?????????? ????? ????? ?????? ???	unk
IL5_SN_000370_20160816_H0T000YBZ	???? ????? ?????? ???? ??? ??? ???? ???? ??? ????? ?? ????? ?????? ?????? ??? ???? ??? ??? ???? ??? 37 ?????	unk
IL5_SN_000370_20160212_G0T0009TP	???  ?? ??? ??? ??? ?? ??? ???? ???  ???? ???? ??? ??? ???? ??? ???????????? ?????? ??? ??? ?? ??? ?? ??? ???? ??? ?	nondomain
IL5_SN_000370_20160511_G0T000FAD	#StillSanders #BernieOrBust @People4Bernie @BernieSanders @Latinos4Bernie @AAPIforBernie @Bay4Bernie	unk
IL5_SN_000370_20160907_H0T000YHW	???? ???  ?? ??  ??? ???? ??? ??????	unk
IL5_NW_020062_20150623_G0040EZ9I	??? ??? ???? ????? ?? ??? ???? ???? ??? ??? ???? ? ?20 ?? 2015  “ ????? ??????? ???? ????? ‘ ???? ???? ’ ??? ???? ???? ” ?? ??? ??? ????? ? ?? ????? ???? ???? ??? ???? ???? ?? ??? ???? ???? ???? ?? ??? ???? ???? ??? ??? ???? ? ?20 ?? 2015  “ ????? ??????? ???? ????? ‘ ???? ???? ’ ??? ???? ???? ” ?? ??? ??? ????? ? ?? ????? ???? ???? ??? ???? ???? ?? ??? ???? ???? ???? ?? ???? ???? ???? ?????? ?????? ????? ??? ? ?????? ?????? ???? ???? ? ?? ???? 20 ???? ???? ?? ??? ??? ???? ???? ???? ????? ????? ?????? ?? ?? ??? ???? ?? ??? ???? ??????? ?? ? ?? ??? ????? ???? ???? ??? ???? ???? ????? ? “ ?? ?? ???? ?? ??? ???? ???? ???? ?????? ???????? ???? ???? ??? ????? ?? ? ??? ?????? ???? ???? ??? ???? ?????? ? ???? ???? ???? ??? ????? ?? ???? ????’? ? ???? ???? ???? ??? ?????? ” ??? ????? ???? ???? ? ?? ?? ???? ?? ???? ?? ?????’? ? ???? ?? ???? ??? ????? ????? ?? ???? ???? ?? ???? ???? ???? ? ?? ?? ??? ???????? ?? ?? ????? ???? ????? ? ??????? ???? ???? ???? ???? ? ???? ???? ????? ???????? ?? ? ?? ???? ???? ???? ????? ?? ?? ???? ??? ? ?????? ??? ? ??’? ??? ??? ??????? ? ?? ?? ??? ????? ?????? ???? ???? ???? ???? ?? ? ??? ??????? ? ??? ???? ??? ???? ???? ??? 15 ? ??????? ???? ????? ??? ???  ??? ???? ??? ?????? ?????? ?? ??? ?????  ?????? ?????? ?????? ???????  ??????’? ?? ??? ??? ???? ??? ????? ????? ???? ????  ??? ??? ????? ????? ? ?? ??? ????? ?? ???? ???? ????? ?????? ???? ?? ???? ???? ???? ? ??? ?????? ??? ????? ?? ??? ??? ?? ?????? ???? ???? ?? ????? ? ??? ????? ?????? ? ?? ? ????? ???? ??????? ? ???? ???? ???? ?? ?? ??? ?? ?????? ??? ????? ? ?? ????? ???? ????  containers  ?? ???? ????? ???? ? ????? ????? ? ???? ? ???? ? ???? ? ??? ?? ? ??? ????? ? ?? ????? ???? ??????? ????? ????? ????? ? ??? ? ????? ?????? ???? ???? ?????? ??????? ? ?????? ????? ???? ????? ????’?? ??’? ? ???? ???? ??? ? ??? ??? ????? ????? ????’? ? ????? ???? ????? ?????’? ????? ?? ??? ???? ??????? ??? ???? ??????’? ? ???? ???? ? ????? ??? ??????? ? ???? ??? ???? ????? ??????? ? ?????? ???? ???? ?????? ????? ????? ??????? ? ????? ????? ????? ????? ??????? ?? ?? ?? ?????? ? ???? ? “ ???? ??? ???’? ? ?????? ????? ???? ???????? ???? ?????? ????’? ? ?????? ?????? ???? ???? ???? ??? ” ???? ???? ?????? ?? ?? ??? ???? ??????? ???? ?? ???? ????? ??? ????? ???? ? ?? ???? ???? ?????? ?????? ???? ?? ?? ?????? ? ???? ???  ????? ??? ??????? ???? ???? ???? ???? ??????? ’ ?? ? ???? ????? ? ?????? ??????? ??? ?? ???? ??? ?? ?????? ?????? ???? ????? ??? ?????? ? ?? ?? ???? ?? ????? ???? ???? ??????’?? ?????? ???? ???? ???? ????’?? ?????? ? ?? ??? ???? ?? ? ?? ??????? ????? ???? ?? ??? ???? ????? ?????? ? ?? ???? ???? ???? ???? ??? ? ?? ??? ???’? ” ??? ??? ?? ???? ?????’? ? ?? ????? ???? ???? ??? ???? ???? ?? ??? ???? ???? ??? ?? ?? ?? ? ???? ???????? ?? ?? ??’? ? ???? ?? ?? ?? ?? ????? ????? ??? ???? ?? ??? ????? ? ?? ???? ?? ?? ??? ???? ???? ??????? ?? ????? ?? ??? ??? ???? ??? ????? ????? ???? ????? ?? ????? ???? ?????’? ’? ????? ???’? ??? ????? ?????? ? ??? ????? ?????? ??????? ???? ?? ??? ???? ???? ?? ????? ????? ? ??????? ? ???? ????? ???? ?? ???? ?????? ??????? ? ???? ??? ????? ????? ????? ???? ????? ???? ??? ???? ?????’? ? ??? ?? ???? ?????? ????  ?? 22  2015	unk
IL5_SN_000370_20161008_H0T00365M	???? ???? ??? ???? ?? ?? ?? ?????? ?? ??? ???? ? ??? ????? ?? ?? ???? ???? ?? ? ??? ??? ?? ? ??? ??? ??? ?? ?	nondomain
IL5_SN_000370_20160719_G0T0008OJ	????  ????? ???? ????? ??????? ?????? ???  ???? ??? ???  ???  ?? ???? ??? ?? ??? ???? ?????? ?????? ????? 9 ?	indomain
IL5_SN_000370_20160930_H0T00365D	???? ???? ???? ?? ??? ??? ?? ??? ????? ?? ???? ?? ? ???? ??? ??? ???? ???? ????? ?? ???? ? ?? ?? ???? ?? ? ?? ???	nondomain
IL5_SN_000370_20170124_H0T0036JC	???????? ?????? ?? ????? ???? ??	unk
IL5_SN_000370_20151118_G0T000AJS	??????? ??????? ?? ??? ???? ?????? ?? ?????? ??? ????  ?? ??????????? ????? ?????? ?? ??? ? ??????? ?????? ???	indomain
IL5_SN_000370_20170416_H0T0068KT	RT @EREVANGURD #Netherlands #Dutch  #IstandwithEritrea	unk
IL5_SN_000370_20170214_H0T00686C	??? ?? ??? ? ???? ?? ??? ?? ??? ???? ??????	unk
IL5_SN_000370_20170113_H0T003687	????? ??? ???? ??? ???? ?????  ??? ??? ??? ???? ?????? ??? ??? ???? ??? ??????? ??? ?????? ????	unk
IL5_SN_000370_20170214_H0T00371C	FBC  ?????? ?????? ???? ?? ????? ??? ????	unk
IL5_SN_000370_20160801_G0T0008KP	??? ??? ?? ??? ??? ??? ?? ???? ???? ????? ????  ?? ??? ??? ????? ??? ????? ????? ??? ??? ???? ?? ???? ???? ??	eval_incident
IL5_SN_000370_20160715_H0T00584K	RT @DahlaKib ????? ???? ???? ?? ??? ??? #EthiopiaProtests #EthiopiansLiveMatter	unk
IL5_SN_000370_20170525_H0T006BA1	RT @NatnaelMekonne7 #SwitzerlandLausanne ???? ??? ???? ????? ??? ????  ???  #Boycott  ???? ??? ?????? ???? ???? ?? ?????? ????  htt	unk
IL5_SN_000370_20160812_H0T00589M	??? ???? ???? ?????? ???  ????? ???? ?? ??????? ???? ??? ?????? ??? ??? ?????? ??????? ????????? ??????? ???	unk
IL5_SN_000370_20170328_H0T0036NX	?????? ??? ??? ??? ???? ??? ?????   via @YouTube	unk
IL5_SN_000370_20170515_H0T00693L	????? ??? ?400? ?? ?? ???? ????? ??? ???? ?????? ?? ?????? ?	unk
IL5_SN_000370_20160623_G0T000EMD	RT @FatmaNaib @VanessaBerhe @Selkid @FeruzLondon @ayfaraho	unk
IL5_WL_020083_20160809_G0040ISFB	???? ??? ???? ????? ????? ??? ????? ? ???? ???? ???? ??? ? ???? ??? ????? ???? ???? ??? ????? ??? ??? ??? ?? ???? ???? ???? ??? ???? ??? ? ???? ??’? ??? ?? ??? ? ?????? ??? ????? ????? ????? ?? ???? ????? ????? ??????? ???? ??? ?????? ??? ???? ??? ???? ???? ?? ??? ?? ? ????? ?? ??? ???? ????? ????? ?? ??? ??? ??? ???? ?? ?	unk
IL5_SN_000370_20160123_G0T0009Z6	??? ? ?????? ????? ?? ?? ??? ?? 20 ??? ????  #Eritrea #Ethiopia #Somalia #VOATigrigna	indomain
IL5_SN_000370_20160704_H0T000Y4A	RT @mesfine ??? ????? ????? ??? ????? ??? ?? ????? ????? ???? ??? ????? ?? ????	unk
IL5_NW_020060_20160711_G0040EYTV	?? ????? ?? ?????  ??? ??? ??? ???  ???? ???? ????? ??  ???? ??? ????? ??? ?? ?? ??? ???????? ????? ?? ??? ?? ???? ? ??? ???? ??  ??? ??? ??? ?????? 50 ????? ???? ???  ??? ????? ???? ???? ???? ??????? ???? ? ?? 75 ??? ???? ? ?? ???? ??? ???? ????? ?? ??? ????  ?? ????? ????  ?? ????? ? ???? ??? 5 ?? ???? ?????? ?? ??? ???? ??? ?? ???? ? ?? 3 ?? ??? ??? ???? ????? ??? ????? ??? ??? ???? ????? ?	unk
IL5_SN_000370_20151114_G0T000AKT	?? ??? ? ????? ?? ??? ? ????? ?? ????  #eritrea #Ethiopia #VOA	nondomain
IL5_SN_000370_20170502_H0T00649L	???? ???? ??? ????? ???? ????? ???? ????? ?????? ??????? ??? ??? ?? ?? ???? ???? ??? ?????? ???	unk
IL5_WL_020506_20170604_H0040N2RC	??? ?????? ????? ???? ???  ?? ?? ???? ?????? ?????? ????? ????? ??? ??? ??? ????? ????? ????? ??? ???? ???? ?? ??? ????? ? ?? ?????? ?? 26 ???? ??? ?? ??? ?? ????? ????? ??? ??? ??? ? ?? ??? ????? ???? ????? ???? ????? ? ????? ?? ????? ????? ????? ???? ???? ?? ????? ???? ?? ? ?? ????? ?? ??? ????? ????? ????? ???? ???? ????? ???? ?? ??????? ? ????? ?? ?? ?? ???? ????? ???? ? ?? ?? ?? ??? ????? ????? ???? ???? ???? ????? ?????? ?? ??? ??? ??? ?? ?????? ???? ???? ????? ????? ?? ? ?? ??? ???? ?????? ???? ????? ????? ???? ?????? ?????? ???? ???? ??????? ?? ??? ???? ???? ????? ??? ????? ??? ?????? ??????? ???? ????? ?????? ?? ???? ?????? ?????? ?????? ???? ??? ? ?? ?? ????? ???? ??? ?? ?????? ??? ??? ??? ???? ?? ???? ???? ???? ????? ??? ???? ???? ???? ????? ???? ????? ????? ???? ???? ???? ???? ???? ??? ? ?? ?????? ????? ?????? ?? ?????? ???? ??? ??? ?????? ???? ???? ?? ???? ??? ??? ?? ??? ???? ????? ???? ???? ??????? ??????? ????? ???? ?? ?? ????? ???? ???? ?? ??? ????? ???? ????? ? ?? ???? ??????? ????? ????? ???? ?? ????? ????? ???? ????? ??? ??? ?? ??? ??? ??? ???? ???? ????? ????? ???? ??? ??? ???? ??? ??? ???? ?? ?????? ? ??? ???? ???? ????? ???? ???? ????? ???? ???? ???? ?????? ? ??? ????? ??? ??? ??? ???? ??? ??? ?? ??? ??? ?? ??? ?????? ?????? ???? ???? ????? ? ?????? ????? ????? ?????? ???? ????? ???? ???? ?? ? ??? ?????? ??? ??? ???? ???? ?? ???? ?? ???? ?? ???? ??? ???? ?????? ???? ???? ???? ?? ???? ???? ????? ??? ? ?? ??? ?? ?? ??? ???? ?? ??? ????? ??? ??? ?? ? ??? ???? ????? ???? ??? ???????? ??? ???? ????? ??? ? ????? ?? ?? ??? ??? ???? ??? ????? ????? ?? ??? ?? ??? ??? ??? ???? ???? ???? ?? ???? ?? ??? ?? ? ???? ???? ????? ?? ????? ????? ????? ?????? ???? ???? ?????? ???? ???? ??? ??????? ????? ???? ???? ???? ???  ??? ???? ???? ???? ????? ????? ???? ???? ??? ??? ???? ????? ??????? ???? ?????? ?????? ??????? ???? ?????? ???? ???? ????’? ???? ???? ??? ??????? ?? ???? ???? ?? ? ?? ‘ ?? ??? ??? ???? ??? ?? ?? ??? ??? ??????? ?????? ???? ????? ???? ?? ???? ?????? ???? ?? ??? ???? ??????? ? ??? ???? ????? ?? ?? ??? ???? ???? ???????? ????? ?????? ??????? ???? ????? ?? ??? ?? ???? ???? ? ??? ????? ?????? ???? ???? ??? ??? ???? ? ???? ??? ????? ?? ??? ????? ?? ?? ??? ?????? ??????? ????? ???? ???? ????? ???? ???? ?	unk
IL5_NW_020062_20160910_G0040KJ49	?? ??? ???? ????? ??? ??????? ???? ?? ??? ??? ??? ???? ?? ???? ??? ?? ?? ?? ???? ?? ??? ??? ????? ??? ?? ?? ???? ???? ????? ? ???? ?? ??? ?? ???? ??? ??? ?????? ?? ??? ??? ?? ???? ??? ???? ???? ??? ?? ??? ???? ????? ? ?? ??? ???? ????? ??? ??????? ???? ?? ?? ??????? ??? ??? ??? ???? ?? ???? ??? ?? ?? ???? ?? ??? ??? ????? ??? ?? ?? ???? ???? ????? ????? ?? 22 ??? ????? ? ?? ??? ???? ????? ??? ??????? ???? ?? ?? ??????? ??? ??? ??? ???? ?? ???? ??? ?? ?? ???? ?? ??? ??? ????? ??? ?? ?? ???? ???? ????? ????? ?? 22 ??? ????? ? ???? ?? ??? ?? ???? ??? ??? ?????? ?? ??? ??? ?? ???? ??? ???? ???? ??? ?? ??? ???? ????? ? ?? ?? ??? ???? ?? ??? ??? ?? ??? ?? ????? ? ?? ?? ????? ????? ??? ??? ??? ?? ?? ???? ??? ???? ???? ?? ?? ???? ?? ???? ???? ???? ???? ???? ??? ??????? ??? ??????? ??????? ??? ? ????? ????? ???? ?? ??? ??? ??? ?? ??????? ??? ???? ??? ?? ???? ??? ????? ???????? ?? ??? ??? ??? ? ?? ?? ??? ?????? ????? ??? ????? ????? ???? ??? ??? ???? ?? ???? 700 ??????? ?????? ?????? ??? ??? ??? ?? ????? ??? ????? ??? ??? ?? ?? ???? ??? ?	indomain
IL5_SN_000370_20170501_H0T0068PV	??? ??? ????? ???? ?????? ??? ???? ????? ?????? ?????? ????? ?????? ????? ??? ??? ???? ???? ?????? #Eritrea	unk
IL5_SN_000370_20160814_H0T000YBC	The insider news Ethiopikalink August 13  2016????? ????????? ???? ??? ?????? ?????? ?? ???	unk
IL5_SN_000370_20160731_H0T005870	????? ??????? ?? ?????? ??? ???  what a pleasant words to hear from from the people of Gondar #Gonderprotests	unk
IL5_SN_000370_20170114_H0T00369U	RT @JawarMohammed ???? ??? ?? ??? ?? ??? ?? ????? ???? ???? ?? ?????? ???? ??? ??? ???? ???? ?????? ??? ???? ?? ??????? ???? ?????  ht	unk
IL5_SN_000370_20161215_H0T0067V8	? ??m??i??? y???m ? uoy ??iw ?w ?	unk
IL5_SN_000370_20170426_H0T00645R	RT @VOATigrigna ????? ?? ????  ??  ???? ?? ??? ?? ??? ????? ?????? ??? ????  #Eritrea #Ethiopia	nondomain
IL5_SN_000370_20161026_H0T0067NN	???? ???? ????? ???? ????? ????	unk
IL5_SN_000370_20170523_H0T0068Y4	?????? ???? ???? ??? ?? ??? ??? ???? ?? ?? ???? ????? ?? ?? ?????? #Eritrea #Ethiopia #Trump #Saudi #MiddleEast #US	unk
IL5_SN_000370_20170619_H0T006BI4	???? 3   ???? ??? 5 ??? ?? ????? ??? ???? ???????? ???? 5 ???? ??? ??? ?? ??????? ?????? ???? ??? ?? ?????? ??? ??  ????	unk
IL5_SN_000370_20150830_G0T000B53	by Kidane Tesfamariam ???? ??? ???? ??? ??? ?? ????? ????? ?????? ?? ?? ??? ??? ?? ???? ?? ???? ????? ???????	nondomain
IL5_SN_000370_20160127_G0T000GFG	@cubanahumana @EritreaRT1 hoax	unk
